País o territorio,  Máx_publicadores  ,  Bautizados  ,  Prom_precursores  ,  Congregaciones  ,  Asistencia_conmemoracion  ,Año
Albania,5632,130,1287,87,15626,2021
Alemania,167328,2361,16263,2073,284011,2021
Andorra,174,,15,3,372,2021
Angola,161286,4757,24717,2538,419197,2021
Anguila,61,,11,1,206,2021
Antigua,481,5,36,7,1549,2021
Argentina,157734,2851,30532,1960,411392,2021
Armenia,11351,181,2139,136,32022,2021
Aruba,1122,25,120,14,3523,2021
Australia,70951,998,7507,748,117731,2021
Austria,21768,242,1928,290,36810,2021
Azerbaiyán,1663,88,417,15,4345,2021
Azores,809,15,112,15,2045,2021
Bahamas,1838,74,252,28,5439,2021
Bangladesh,332,13,142,6,1210,2021
Barbados,2408,52,180,30,7857,2021
Bélgica,26012,512,2217,338,49040,2021
Belice,2665,59,482,54,9187,2021
Benín,14350,438,1830,242,37572,2021
Bermudas,447,,77,5,1068,2021
Bielorrusia,6208,124,1373,83,12764,2021
Bolivia,29540,861,7771,448,102489,2021
Bonaire,127,,18,2,357,2021
Bosnia-Herzegovina,1041,11,170,16,1808,2021
Botsuana,2396,42,330,45,6952,2021
Brasil,913479,20406,136453,12441,2184856,2021
Bulgaria,2675,54,672,56,7386,2021
Burkina Faso,1961,35,234,49,4528,2021
Burundi,16965,578,2513,272,40590,2021
Cabo Verde,2293,46,370,35,8830,2021
"Caimán, Islas",279,,35,3,703,2021
Camboya,1135,31,591,18,2740,2021
Camerún,43526,795,5840,530,98823,2021
Canadá,118533,1407,14780,1193,207336,2021
"Centroafricana, Rep.",2502,69,267,65,13586,2021
Chad,822,33,80,21,3684,2021
"Checa, Rep.",15549,158,1362,212,29999,2021
Chile,87144,2054,17857,955,268126,2021
Chipre,2866,36,521,41,5588,2021
Chuuk,35,,9,2,175,2021
Colombia,190223,4958,29270,2302,632726,2021
"Congo, Rep. del",8358,357,1138,116,25022,2021
"Congo, Rep. Dem. del",205045,6581,20097,4084,1079733,2021
"Cook, Islas",223,4,25,3,565,2021
Corea del Sur,105208,1016,47762,1270,144673,2021
Costa de Marfil,11980,183,1577,310,40133,2021
Costa Rica,32704,773,3943,436,80874,2021
Croacia,4815,49,421,57,8146,2021
Cuba,93952,1371,9150,1401,191438,2021
Curazao,2046,86,218,25,6447,2021
Dinamarca,14588,150,1210,174,22041,2021
Dominica,427,,51,10,1433,2021
"Dominicana, Rep.",40542,654,7285,546,150128,2021
Ecuador,101608,2436,19908,1205,357448,2021
El Salvador,39578,529,4789,662,93265,2021
Eslovaquia,11199,181,952,133,25816,2021
Eslovenia,1757,20,244,29,3256,2021
España,119896,1920,19873,1472,217480,2021
Estados Unidos,1255657,19627,196999,12163,2461094,2021
Estonia,4003,34,584,55,7253,2021
Esuatini,3285,44,365,80,8725,2021
Etiopía,11030,282,2365,189,26482,2021
"Feroe, Islas",131,,22,4,179,2021
Filipinas,235736,7366,49730,3504,739439,2021
Finlandia,18225,146,2238,278,27975,2021
Fiyi,3426,35,522,82,12411,2021
Francia,136,2236,17349,1546,251477,2021
Gabón,4471,88,577,59,14452,2021
Gambia,282,2,40,5,806,2021
Georgia,18772,293,3368,219,40339,2021
Ghana,149232,3672,15851,2339,346089,2021
Gibraltar,126,,19,2,177,2021
Gran Bretaña,140094,2483,16294,1611,248800,2021
Granada,544,18,78,9,1656,2021
Grecia,28326,415,4239,356,53215,2021
Groenlandia,144,1,33,5,352,2021
Guadalupe,8396,189,784,118,21858,2021
Guam,770,17,174,9,2174,2021
Guatemala,40020,739,6498,857,111350,2021
Guayana Francesa,3015,86,499,46,11326,2021
Guinea,1232,48,152,25,4076,2021
Guinea-Bisáu,205,1,50,4,1163,2021
Guinea Ecuatorial,2721,69,328,31,9028,2021
Guyana,3417,92,507,51,14394,2021
Haití,19082,313,2621,271,65700,2021
Honduras,22912,418,4149,434,70973,2021
Hong Kong,5588,147,1287,66,12904,2021
Hungría,20974,388,1895,289,43543,2021
India,55408,160,8450,906,183849,2021
Indonesia,30188,758,4899,510,66038,2021
Irlanda,7341,174,1247,120,13802,2021
Islandia,396,3,62,7,793,2021
Israel,2021,65,366,33,4177,2021
Italia,251490,3152,41446,2856,519224,2021
Jamaica,11499,225,1386,152,48056,2021
Japón,213451,1621,66947,2959,321158,2021
Kazajistán,17541,493,4197,257,35044,2021
Kenia,29911,854,3542,651,78181,2021
Kirguistán,5282,112,1319,89,11297,2021
Kiribati,145,,27,3,353,2021
Kosovo,252,6,109,8,829,2021
Kosrae,16,,5,1,32,2021
Lesoto,3789,77,531,93,10270,2021
Letonia,21300,37,348,31,3960,2021
Liberia,8236,192,759,140,27494,2021
Liechtenstein,91,,4,1,175,2021
Lituania,2878,49,427,43,5467,2021
