País o territorio,  Máx_publicadores  ,  Bautizados  ,  Prom_precursores  ,  Congregaciones  ,  Asistencia_conmemoracion  ,Año
Albania,5577,112,1363,83,12106,2022
Alemania,170491,2209,18808,2020,267452,2022
Andorra,169,,23,3,331,2022
Angola,159384,3273,25609,2539,485484,2022
Anguila,67,,11,1,208,2022
Antigua,478,,41,7,1244,2022
Argentina,155443,2869,35977,1945,345669,2022
Armenia,11191,192,2259,135,26543,2022
Aruba,1127,15,139,14,2978,2022
Australia,71355,1047,9485,739,113915,2022
Austria,21966,231,2209,287,34282,2022
Azerbaiyán,1674,77,451,18,3647,2022
Azores,802,14,131,15,1685,2022
Bahamas,1868,28,277,28,4351,2022
Bangladesh,338,7,140,6,1048,2022
Barbados,2389,38,191,30,6732,2022
Bélgica,25970,334,2441,336,44337,2022
Belice,2614,49,487,54,8317,2022
Benín,14202,380,1841,246,38932,2022
Bermudas,443,,73,5,963,2022
Bielorrusia,6167,125,1475,83,11784,2022
Bolivia,29268,559,8269,448,83177,2022
Bonaire,138,,25,2,352,2022
Bosnia-Herzegovina,1011,8,188,16,1574,2022
Botsuana,2345,73,344,43,5913,2022
Brasil,909879,15338,173032,12439,1808720,2022
Bulgaria,2724,83,725,58,5958,2022
Burkina Faso,1944,36,232,48,4251,2022
Burundi,17019,575,2585,281,53130,2022
Cabo Verde,2296,52,397,35,7336,2022
"Caimán, Islas",280,,41,3,638,2022
Camboya,1125,32,554,17,2047,2022
Camerún,43217,791,5863,499,89171,2022
Canadá,118607,1399,16980,1177,188701,2022
"Centroafricana, Rep.",2661,61,265,65,16500,2022
Chad,806,30,93,22,3501,2022
"Checa, Rep.",15957,143,1567,212,29183,2022
Chile,86746,1301,20069,955,218637,2022
Chipre,2960,28,571,40,5178,2022
Chuuk,32,,8,2,180,2022
Colombia,188219,3187,31715,2267,568136,2022
"Congo, Rep. del",8556,194,1250,116,25093,2022
"Congo, Rep. Dem. del",223678,5173,20239,4037,1107590,2022
"Cook, Islas",211,2,27,3,500,2022
Corea del Sur,105977,1169,50279,1261,138655,2022
Costa de Marfil,11877,255,1577,231,37361,2022
Costa Rica,32504,546,4275,435,72360,2022
Croacia,4736,40,462,57,7218,2022
Cuba,91710,1216,8932,1399,166891,2022
Curazao,2040,40,254,25,5629,2022
Dinamarca,14534,129,1316,174,20688,2022
Dominica,439,,56,10,1215,2022
"Dominicana, Rep.",40149,578,7580,539,115138,2022
Ecuador,100090,1908,21404,1204,294770,2022
El Salvador,38717,407,5043,654,84039,2022
Eslovaquia,11250,211,1106,133,23373,2022
Eslovenia,1731,14,254,28,2847,2022
España,120614,1847,23736,1416,198162,2022
Estados Unidos,1238431,16200,229730,12040,2344212,2022
Estonia,4018,48,643,55,6853,2022
Esuatini,3305,64,371,76,7896,2022
Etiopía,11074,218,2391,183,24477,2022
"Feroe, Islas",135,1,27,4,184,2022
Filipinas,238609,7228,51854,3511,664989,2022
Finlandia,18108,155,2429,275,26435,2022
Fiyi,3186,95,513,62,12452,2022
Francia,136419,2026,20092,1477,228072,2022
Gabón,4460,108,592,59,11657,2022
Gambia,280,7,44,5,582,2022
Georgia,18782,278,3695,224,34969,2022
Ghana,149275,4221,16131,2396,322892,2022
Gibraltar,159,,23,2,179,2022
Gran Bretaña,139960,1665,19696,1614,220438,2022
Granada,553,10,80,9,1470,2022
Grecia,27995,420,4658,354,43608,2022
Groenlandia,129,2,32,5,297,2022
Guadalupe,8534,118,951,118,20016,2022
Guam,742,14,181,9,1892,2022
Guatemala,39452,512,6614,852,98300,2022
Guayana Francesa,2933,66,563,45,10154,2022
Guinea,1150,36,156,25,3913,2022
Guinea-Bisáu,207,8,49,4,592,2022
Guinea Ecuatorial,2411,68,312,31,6803,2022
Guyana,3337,53,532,47,12471,2022
Haití,18234,281,2556,271,64155,2022
Honduras,22324,253,4234,429,60259,2022
Hong Kong,5510,147,1361,66,13484,2022
Hungría,21180,314,2070,288,39452,2022
India,56747,2817,9634,947,152011,2022
Indonesia,30306,716,5721,476,60144,2022
Irlanda,7533,126,1465,121,12561,2022
Islandia,399,9,63,7,686,2022
Israel,2067,28,395,33,3670,2022
Italia,250624,3181,47826,2843,426019,2022
Jamaica,11124,169,1527,152,35992,2022
Japón,214359,1858,69606,2893,310692,2022
Kazajistán,17259,283,4500,232,30324,2022
Kenia,29534,536,3578,623,68579,2022
Kirguistán,5097,87,1372,89,10054,2022
Kiribati,91,6,24,2,441,2022
Kosovo,244,4,107,8,491,2022
Kosrae,13,,4,1,56,2022
Lesoto,3729,103,545,82,8348,2022
Letonia,2101,27,367,30,3537,2022
Liberia,7391,235,771,141,28935,2022
Liechtenstein,94,,7,1,157,2022
Lituania,2924,40,443,40,4895,2022
Luxemburgo,2188,,254,30,4054,2022
Macao,404,18,128,6,1122,2022
Macedonia del Norte,1259,15,201,24,2859,2022
Madagascar,35748,975,6548,826,129313,2022
Madeira,1203,20,141,19,1829,2022
Malasia,5637,178,1569,121,12301,2022
Malaui,108044,2823,7827,1831,305182,2022
Mali,365,6,63,6,982,2022
Malta,874,11,140,11,1368,2022
"Malvinas, Islas",16,,5,1,20,2022
"Marshall, Islas",147,,30,4,708,2022
Martinica,5050,87,700,57,11315,2022
Mauricio,2158,52,308,27,5575,2022
Mayotte,171,3,55,3,306,2022
México,864689,10832,144181,12881,2208399,2022
Moldavia,18301,424,2551,201,34957,2022
Mongolia,437,11,190,8,1365,2022
Montenegro,341,5,97,7,884,2022
Montserrat,36,,14,1,132,2022
Mozambique,81719,2728,6854,1551,286696,2022
Myanmar,5115,211,902,91,11670,2022
Namibia,2558,102,320,46,7539,2022
Nauru,18,,2,1,100,2022
Nepal,2823,96,869,43,7529,2022
Nicaragua,29326,450,4853,471,81225,2022
Nieves,74,,5,1,249,2022
Níger,346,5,44,9,804,2022
Nigeria,389961,4521,40227,6081,742933,2022
Niue,22,,3,1,74,2022
Noruega,11877,109,1419,163,17681,2022
Nueva Caledonia,2636,96,317,36,7265,2022
Nueva Zelanda,14669,231,1924,170,26131,2022
Países Bajos,29240,340,2688,353,49218,2022
Pakistán,1154,83,62,16,3615,2022
Palaos,73,,24,2,164,2022
"Palestinos, Territorios",62,,12,2,131,2022
Panamá,18414,295,3357,317,57464,2022
Papúa Nueva Guinea,5197,131,710,91,35414,2022
Paraguay,11164,271,2273,197,25946,2022
Perú,131346,2499,30457,1551,420405,2022
Polonia,114673,1054,10200,1272,191572,2022
Ponapé,60,,17,1,138,2022
Portugal,51334,676,6147,656,86422,2022
Puerto Rico,23170,238,4009,230,45579,2022
Reunión,3468,77,599,41,6686,2022
Rodríguez,70,2,13,1,215,2022
Rota,5,,2,,8,2022
Ruanda,31541,1240,5103,562,76441,2022
Rumania,39444,656,5532,533,79758,2022
Saba,17,,3,,71,2022
Saipán,226,4,46,3,564,2022
"Salomón, Islas",1631,14,186,49,9317,2022
Samoa,545,16,108,12,2748,2022
Samoa Norteamericana,154,,32,3,647,2022
San Bartolomé,34,,5,1,61,2022
San Cristóbal,225,3,30,3,721,2022
San Eustaquio,34,,5,1,61,2022
San Marino,191,,41,2,312,2022
San Martín (terr. francés),291,5,30,5,844,2022
San Martín (terr. holandés),344,10,42,4,1007,2022
San Pedro y Miquelón,15,,6,1,21,2022
San Vicente y las Granadinas,293,2,46,8,958,2022
Santa Elena,116,2,,3,283,2022
Santa Lucía,806,,120,11,2334,2022
Santo Tomé y Príncipe,907,22,153,14,3532,2022
Senegal,1461,13,192,29,3051,2022
Serbia,3764,72,700,61,7254,2022
Seychelles,371,16,42,5,1181,2022
Sierra Leona,2525,79,304,41,7252,2022
Sri Lanka,7136,155,1207,100,16020,2022
Sudáfrica,97639,1953,13591,1999,228102,2022
Sudán,666,26,121,13,1836,2022
Sudán del Sur,1677,56,216,33,5289,2022
Suecia,22464,220,2871,281,34365,2022
Suiza,19462,218,2009,258,31115,2022
Surinam,3649,130,377,56,10209,2022
Tahití,3251,44,497,45,10300,2022
Tailandia,5248,153,1932,142,9548,2022
Taiwán,11375,299,3924,179,20804,2022
Tanzania,19998,547,2137,416,54088,2022
Timor Oriental,397,13,94,5,1152,2022
Tinián,10,,1,1,30,2022
Togo,22500,588,2590,349,54625,2022
Tonga,211,5,41,3,647,2022
Trinidad y Tobago,10623,192,1578,130,27960,2022
"Turcas y Caicos, Islas",352,,58,7,976,2022
Turquía,5438,110,1928,70,9244,2022
Tuvalu,97,,3,1,210,2022
Ucrania,127378,1941,18592,1429,211528,2022
Uganda,9262,419,1208,167,28907,2022
Uruguay,11960,193,1885,149,25010,2022
Vanuatu,635,19,99,13,3584,2022
Venezuela,131634,2758,31316,1714,355695,2022
"Vírgenes Brit., Islas",218,,30,4,765,2022
"Vírgenes de EE. UU., Islas",592,1,108,8,1289,2022
"Wallis y Futuna, Islas",66,2,6,1,212,2022
Yap,34,2,7,1,132,2022
Zambia,215382,4770,18034,3529,864131,2022
Zimbabue,45582,730,7190,1036,105824,2022
