País o territorio,  Máx_publicadores  ,  Bautizados  ,  Prom_precursores  ,  Congregaciones  ,  Asistencia_conmemoracion  ,Año
Albania,5380,137,1381,78,10447,2024
Alemania,177240,2800,23199,1979,277109,2024
Andorra,165,,23,3,340,2024
Angola,180925,9674,31995,2578,673685,2024
Anguila,67,,11,1,201,2024
Antigua,468,15,49,7,1264,2024
Argentina,156673,4612,37500,1928,307955,2024
Armenia,11575,396,2558,128,25606,2024
Aruba,1112,24,157,13,2662,2024
Australia,71726,1696,9894,717,115566,2024
Austria,22630,306,2684,283,35446,2024
Azerbaiyán,2072,60,574,29,3866,2024
Azores,813,22,152,15,1627,2024
Bahamas,1723,42,315,28,4361,2024
Bangladesh,388,33,140,11,1116,2024
Barbados,2356,40,222,30,5957,2024
Bélgica,26568,541,2784,330,45170,2024
Belice,2494,98,475,52,7598,2024
Benín,15596,815,2384,283,49214,2024
Bermudas,425,,71,5,850,2024
Bielorrusia,6100,111,1587,81,10711,2024
Bolivia,30258,1017,9229,452,79880,2024
Bonaire,148,,28,2,423,2024
Bosnia-Herzegovina,955,12,190,16,1400,2024
Botsuana,2473,142,403,43,6321,2024
Brasil,926480,27652,180508,12704,1810952,2024
Bulgaria,2953,94,835,57,6475,2024
Burkina Faso,2123,85,279,55,4984,2024
Burundi,20040,1663,3620,394,77037,2024
Cabo Verde,22800,89,455,35,7595,2024
"Caimán, Islas",304,,45,3,757,2024
Camboya,1213,56,571,21,2956,2024
Camerún,44670,2128,7109,579,109064,2024
Canadá,124407,1867,18609,1159,196562,2024
"Centroafricana, Rep.",3352,269,402,69,26006,2024
Chad,1016,74,120,25,4647,2024
"Checa, Rep.",17296,310,1939,219,30629,2024
Chile,88592,2333,21963,974,188741,2024
Chipre,3171,72,714,42,5723,2024
Chuuk,32,6,7,2,143,2024
Colombia,191405,5775,39886,2306,552793,2024
"Congo, Rep. del",10303,598,1804,131,33768,2024
"Congo, Rep. Dem. del",280107,19017,31097,4590,1403269,2024
"Cook, Islas",204,6,36,3,572,2024
Corea del Sur,106036,1868,54342,1245,137662,2024
Costa de Marfil,13331,532,1754,231,57615,2024
Costa Rica,32501,852,5136,422,70135,2024
Croacia,4671,47,474,56,7179,2024
Cuba,84508,1416,10155,1315,194715,2024
Curazao,1946,44,278,24,4963,2024
Dinamarca,14667,213,1502,173,20690,2024
Dominica,397,2,57,10,1240,2024
"Dominicana, Rep.",38466,1115,8482,532,117648,2024
Ecuador,102793,4156,25316,1196,275229,2024
El Salvador,37271,772,5638,589,79753,2024
Eslovaquia,11333,145,1139,135,21419,2024
Eslovenia,1735,22,291,24,2700,2024
España,125359,2299,26976,1369,208794,2024
Estados Unidos,1259538,23367,243002,11858,2408873,2024
Estonia,4122,64,701,53,6630,2024
Esuatini,3420,149,428,74,8116,2024
Etiopía,12166,675,3076,204,27357,2024
"Feroe, Islas",146,1,20,4,197,2024
Filipinas,266410,12201,68764,3662,680399,2024
Finlandia,18384,284,2551,270,25989,2024
Fiyi,3001,171,557,59,12047,2024
Francia,139932,2890,21933,1461,233207,2024
Gabón,4895,251,742,61,13343,2024
Gambia,334,10,59,6,774,2024
Georgia,19372,685,4009,217,33706,2024
Ghana,159140,8877,19208,2585,402031,2024
Gibraltar,168,,34,2,225,2024
Gran Bretaña,144579,2395,21632,1579,229344,2024
Granada,536,9,83,9,1408,2024
Grecia,27760,413,5003,340,43584,2024
Groenlandia,132,,38,5,330,2024
Guadalupe,8524,233,1084,115,19236,2024
Guam,761,11,182,9,1650,2024
Guatemala,39191,1109,7266,788,94610,2024
Guayana Francesa,3064,108,687,42,11545,2024
Guinea,1367,104,195,30,5018,2024
Guinea-Bisáu,215,13,52,4,792,2024
Guinea Ecuatorial,2863,181,386,34,8482,2024
Guyana,3324,98,507,45,12288,2024
Haití,16821,754,2748,251,70473,2024
Honduras,21638,649,4692,406,57560,2024
Hong Kong,5530,259,1536,72,9661,2024
Hungría,21559,487,2402,279,38516,2024
India,59122,3102,11958,1017,158775,2024
Indonesia,32345,1205,6782,488,61140,2024
Irlanda,8269,125,1638,122,13860,2024
Islandia,452,5,97,7,724,2024
Israel,2127,38,422,33,3762,2024
Italia,251493,4261,50661,2723,420423,2024
Jamaica,11088,266,1566,153,33310,2024
Japón,214020,1936,72546,2866,290165,2024
Kazajistán,17188,410,4823,224,29488,2024
Kenia,33107,1800,4466,598,80371,2024
Kirguistán,5268,167,1560,78,10211,2024
Kiribati,155,29,39,2,430,2024
Kosovo,251,1,108,7,478,2024
Kosrae,10,,4,1,45,2024
Lesoto,4340,110,714,82,11737,2024
Letonia,2115,23,383,29,3301,2024
Liberia,8800,657,1028,150,42384,2024
Liechtenstein,105,,12,1,181,2024
Lituania,2925,42,476,39,4601,2024
Luxemburgo,2240,,288,32,4116,2024
Macao,413,2,128,6,914,2024
Macedonia del Norte,1276,24,195,23,2529,2024
Madagascar,43217,3358,8219,863,169469,2024
Madeira,1199,19,167,19,1921,2024
Malasia,5697,190,1628,118,12315,2024
Malaui,117602,9804,8740,1997,414897,2024
Mali,378,15,47,6,934,2024
Malta,958,23,162,10,1503,2024
"Malvinas, Islas",13,1,5,1,21,2024
"Marshall, Islas",136,5,27,4,651,2024
Martinica,4847,98,795,56,10581,2024
Mauricio,2160,59,349,27,5036,2024
Mayotte,181,6,45,3,363,2024
México,878990,24946,165269,12310,2157985,2024
Moldavia,20538,461,3036,191,36328,2024
Mónaco,46,,11,1,96,2024
Mongolia,449,15,206,8,1216,2024
Montenegro,432,1,141,7,769,2024
Montserrat,33,,11,1,101,2024
Mozambique,99705,10775,10742,1942,411440,2024
Myanmar,5296,359,1093,98,11948,2024
Namibia,2962,229,404,50,9706,2024
Nauru,17,1,2,1,154,2024
