País o territorio,  Máx_publicadores  ,  Bautizados  ,  Prom_precursores  ,  Congregaciones  ,  Asistencia_conmemoracion  ,Año
Albania,5642 ,175 ,1333 ,87 ,12135 ,2019
Alemania,165393 ,2869 ,14571 ,2091 ,267562 ,2019
Andorra,179 ,3 ,11 ,3 ,332 ,2019
Angola,165631 ,13490 ,24685 ,2269 ,696384 ,2019
Anguila,67 ,,11 ,1 ,288 ,2019
Antigua,475 ,12 ,42 ,7 ,1392 ,2019
Argentina,154673 ,4917 ,24422 ,1976 ,330166 ,2019
Armenia,10924 ,294 ,2102 ,129 ,20968 ,2019
Aruba,1097 ,28 ,110 ,14 ,3084 ,2019
Australia,68646 ,1367 ,6935 ,762 ,118279 ,2019
Austria,21614 ,308 ,1759 ,298 ,34213 ,2019
Azerbaiyán,1490 ,77 ,346 ,14 ,3053 ,2019
Azores,795 ,26 ,118 ,15 ,1622 ,2019
Bahamas,1776 ,61 ,251 ,28 ,4977 ,2019
Bangladesh,324 ,14 ,151 ,6 ,980 ,2019
Barbados,2439 ,26 ,181 ,30 ,6190 ,2019
Bélgica,25173 ,513 ,2028 ,336 ,42925 ,2019
Belice,2702 ,133 ,541 ,61 ,8306 ,2019
Benín,14203 ,805 ,1804 ,225 ,45475 ,2019
Bermudas,483 ,4 ,83 ,5 ,851 ,2019
Bielorrusia,6211 ,208 ,1312 ,81 ,10140 ,2019
Bolivia,28732 ,1129 ,7288 ,427 ,94104 ,2019
Bonaire,131 ,,17 ,2 ,370 ,2019
Bosnia-Herzegovina,1065 ,9 ,175 ,17 ,1794 ,2019
Botsuana,2251 ,103 ,331 ,47 ,6707 ,2019
Brasil,893784 ,32943 ,116547 ,12408 ,1922286 ,2019
Bulgaria,2556 ,77 ,677 ,52 ,5444 ,2019
Burkina Faso,2042 ,100 ,268 ,48 ,4851 ,2019
Burundi,15565 ,927 ,2310 ,271 ,61157 ,2019
Cabo Verde,2327 ,79 ,397 ,35 ,8377 ,2019
Caimán (islas),274 ,1 ,39 ,3 ,730 ,2019
Camboya,1182 ,54 ,637 ,17 ,3033 ,2019
Camerún,45092 ,2071 ,5502 ,500 ,101818 ,2019
Canadá,115634 ,1935 ,13449 ,1326 ,186020 ,2019
"Centroafricana, Rep.",2901 ,178 ,298 ,58 ,18890 ,2019
Chad,887 ,69 ,73 ,19 ,4765 ,2019
"Checa, Rep.",15471 ,254 ,1287 ,213 ,26748 ,2019
Chile,82305 ,2461 ,13689 ,955 ,184610 ,2019
Chipre,2704 ,32 ,451 ,43 ,4966 ,2019
Chuuk,48 ,2 ,13 ,2 ,207 ,2019
Colombia,187229 ,6754 ,27861 ,2248 ,567889 ,2019
"Congo, Rep. del",8808 ,732 ,970 ,98 ,34754 ,2019
